date,action,price,size,cost,indicators,profit
2024-10-14 12:15:00,BUY,282.35,35,9882.25,{'SMA_15m': 280.57999725341796},
2024-10-15 13:22:00,SELL,276.7,35,,{'SMA_15m': 278.5750015258789},-197.75
